"time","acc_x","acc_y","acc_z","w_x","w_y","w_z","ang_x","ang_y","ang_z","label"
"0","0","0","0","0","0","0","0","0","0","4"
"0.208","0.062","0.068","0.942","0.0","0.0","0.0","5.75","-9.1","-147.62","4"
"2.194","0.063","0.069","0.942","0.0","0.0","0.0","5.72","-9.12","-147.34","4"
"4.184","0.063","0.069","0.941","0.0","0.0","0.0","5.72","-9.11","-147.33","4"
"6.198","0.063","0.069","0.941","0.0","0.0","0.0","5.71","-9.11","-147.24","4"
"8.197","0.062","0.069","0.941","0.0","0.0","0.0","5.71","-9.11","-147.28","2"
"10.168","0.063","0.07","0.942","0.0","0.0","0.0","5.71","-9.1","-147.24","2"
"12.174","0.063","0.069","0.942","0.0","0.0","0.0","5.71","-9.11","-147.17","2"
"14.147","0.064","0.07","0.941","0.0","0.0","0.0","5.7","-9.1","-147.21","2"
"16.169","0.063","0.069","0.942","0.0","0.0","0.0","5.72","-9.11","-147.24","2"
"18.134","0.063","0.07","0.942","0.0","0.0","0.0","5.72","-9.1","-147.23","2"
"20.119","0.064","0.071","0.942","0.0","0.0","0.0","5.71","-9.11","-147.23","2"
"22.134","0.062","0.067","0.942","0.0","0.0","0.0","5.72","-9.1","-147.25","2"
"24.137","0.063","0.069","0.941","0.0","0.0","0.0","5.72","-9.1","-147.26","2"
"26.134","0.063","0.068","0.942","0.0","0.0","0.0","5.71","-9.11","-147.24","2"
"28.09","0.064","0.069","0.942","0.0","0.0","0.0","5.71","-9.1","-147.26","2"
"30.108","0.062","0.069","0.941","","","","","","","2"
